title,genres,keywords,spoken_languages,overview,production_countries
Wreck-It Ralph,"Family, Animation, Comedy, Adventure","support group, product placement, bullying, racing, arcade, medal, self esteem, curiosity, precocious child, aftercreditsstinger, duringcreditsstinger, first person shooter, glitch, carefree, video gamer, q*bert, interrupted wedding, social reject",English,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a ",United States of America
The Polar Express,"Adventure, Animation, Family, Fantasy","santa claus, nerd, faith, gift, bell, beard, north pole, chute, trestle, ticket, christmas",English,"When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.",United States of America
Independence Day: Resurgence,"Action, Adventure, Science Fiction","alternate history, alien invasion",English,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the a",United States of America
How to Train Your Dragon,"Fantasy, Adventure, Animation, Family","flying, blacksmith, arena, island, night, ship, training, village, forest, viking, friendship, ignorance, flight, nest, dragon, battle, combat, well, warrior",English,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, h",United States of America
Terminator 3: Rise of the Machines,"Action, Thriller, Science Fiction","saving the world, artificial intelligence, man vs machine, cyborg, killer robot, sun glasses, leather jacket, nanotechnology, rocket launcher, firemen, veterinarian, fire engine, dystopia, psychiatrist",English,"It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic ","Germany, United Kingdom, United States of America"
Guardians of the Galaxy,"Action, Science Fiction, Adventure","marvel comic, spaceship, space, outer space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe",English,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.","United Kingdom, United States of America"
Interstellar,"Adventure, Drama, Science Fiction","saving the world, artificial intelligence, father son relationship, single parent, nasa, expedition, wormhole, space travel, famine, black hole, dystopia, race against time, quantum mechanics, spaceship, space, rescue, family relationships, farmhouse, robot, astronaut, scientist, father daughter relationship, single father, farmer, space station, imax, astrophysics, zero gravity, courage, time paradox, relativity",English,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in a,"Canada, United States of America, United Kingdom"
Inception,"Action, Thriller, Science Fiction, Mystery, Adventure","loss of lover, dream, kidnapping, sleep, subconsciousness, heist, redemption, female hero","English, 日本語, Français","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inc","United Kingdom, United States of America"
Shin Godzilla,"Action, Adventure, Drama, Horror, Science Fiction","monster, godzilla, giant monster, destruction, kaiju, toyko","Italiano, Deutsch, English, 日本語","From the mind behind Evangelion comes a hit larger than life.  When a massive, gilled monster emerges from the deep and tears through the city, the government scrambles to save its citizens.  A rag-ta",Japan
The Hobbit: An Unexpected Journey,"Adventure, Fantasy, Action","riddle, elves, dwarves, orcs, middle-earth (tolkien), hobbit, mountains, wizard, journey, ring, goblin, courage, giant, tunnel, underground lake, buried treasure, climbing a tree, invisibility, ancient, gnomes",English,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.","New Zealand, United States of America"
The Fast and the Furious,"Action, Crime, Thriller","street gang, car race, undercover, auto-tuning, los angeles, car, automobile racing, aftercreditsstinger, duringcreditsstinger",English,"Domenic Toretto is a Los Angeles street racer suspected of masterminding a series of big-rig hijackings. When undercover cop Brian O'Conner infiltrates Toretto's iconoclastic crew, he falls for Torett","Germany, United States of America"
The Curious Case of Benjamin Button,"Fantasy, Drama, Thriller, Mystery, Romance","diary, navy, funeral, tea, travel, hospital",English,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",United States of America
X-Men: First Class,"Action, Science Fiction, Adventure","cia, mutant, mine, marvel comic, superhero, based on comic book, superhuman, historical fiction, nuclear war, cuban missile crisis, world war iii, 1960s","Deutsch, English, Español, Français, Pусский","Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of",United States of America
The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Science Fiction","revolution, strong woman, dystopia, game of death, 3d, based on young adult novel",English,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off","Germany, United States of America"
The Sorcerer's Apprentice,"Fantasy, Adventure, Action, Comedy, Drama","witch, fire, wolf, fountain, magic, book, castle, water, apprentice, training, merlin, love, mission, sorcerer, dragon, aftercreditsstinger, apprendista, morgana",English,"Balthazar Blake is a master sorcerer in modern-day Manhattan trying to defend the city from his arch-nemesis, Maxim Horvath. Balthazar can't do it alone, so he recruits Dave Stutler, a seemingly avera",United States of America
Poseidon,"Adventure, Action, Drama, Thriller","new year's eve, fire, drowning, cataclysm, loss of father, atlantic ocean, ball, self-abandonment, shipwreck, giant wave, blackout, ship, daughter, single, escape, capsized ship","English, Español","A packed cruise ship traveling the Atlantic is hit and overturned by a massive wave, compelling the passengers to begin a dramatic fight for their lives.",United States of America
Alice Through the Looking Glass,Fantasy,"based on novel, clock, queen, sequel, alice in wonderland, dark fantasy, mad hatter, 3d",English,"In the sequel to Tim Burton's ""Alice in Wonderland"", Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.","United Kingdom, United States of America"
Shrek the Third,"Fantasy, Adventure, Animation, Comedy, Family","ambush, sadness, stage, liberation of prisoners, island, traitor, shipwreck, prince, ship, donkey, kingdom, theatre play, transformation, conciliation, tricks, heir to the throne, assault, boarding school, coup d'etat, teacher, best friend, dragon, cowardliness, pregnancy, capture, duringcreditsstinger",Français,"The King of Far Far Away has died and Shrek and Fiona are to become King &amp; Queen. However, Shrek wants to return to his cozy swamp and live in peace and quiet, so when he finds out there is anothe",United States of America
