title,genres,keywords,original_language,production_countries,spoken_languages
Exodus: Gods and Kings,"Adventure, Drama, Action","moses, bible, ancient egypt, 3d, ramses",en,"Spain, United Kingdom, United States of America",English
Star Trek,"Science Fiction, Action, Adventure","spacecraft, teleportation, space mission, parachute, time travel, black hole, supernova, prequel, warp speed, futuristic, warp engine, romulans, outer space, vulcan, alternate reality, space opera, reboot",en,"Germany, United States of America",English
Spider-Man,"Fantasy, Action","loss of lover, spider, thanksgiving, bad boss, hostility, marvel comic, superhero, pokies, evil, reference to superman, goblin",en,United States of America,English
How to Train Your Dragon 2,"Fantasy, Action, Adventure, Animation, Comedy, Family","father son relationship, wife husband relationship, sacrifice, viking, sequel, rescue, dragon, mother son relationship, death of husband, warrior, 3d",en,United States of America,English
Gods of Egypt,Fantasy,"egypt, underworld, fight, mythology, nile, war, thief, rescue, desert, gods, egyptian mythology, egyptian, myth",en,"Australia, United States of America",English
Stealth,Action,"artificial intelligence, u.s. navy, aftercreditsstinger",en,United States of America,"English, German, ,, Spanish"
Watchmen,"Action, Mystery, Science Fiction","dc comics, secret identity, mass murder, retirement, based on comic book, conspiracy, nuclear war, doomsday, soviet, masked vigilante, doomsday clock, red square, death of superhero, american president, 1980s",en,United States of America,English
Lethal Weapon 4,"Action, Adventure, Comedy, Crime, Thriller","lapd, house on fire, revolver",en,United States of America,"English, ,"
Hulk,"Drama, Action, Science Fiction","california, san francisco, monster, general, gun, dna, mutation, psychology, berkeley, transformation, frog, president, marvel comic, superhero, golden gate bridge, doctor, fear, scientist, dog, desert, anger, mirror, phone, military, cell, hulk, superhuman strength, repressed memory, repression",en,United States of America,"English, Spanish"
G.I. Joe: Retaliation,"Adventure, Action, Science Fiction, Thriller","terror, assassin, secret, technology, missile, warhead, president, rescue, conspiracy, explosion, battle, surveillance, cobra",en,United States of America,English
Sahara,"Action, Adventure, Comedy, Drama, Mystery","tyrant, ironclad ship",en,"Germany, Spain, United Kingdom, United States of America","English, French"
Final Fantasy: The Spirits Within,"Adventure, Action, Animation, Fantasy, Science Fiction, Thriller","battle assignment, dystopia, alien, downfall, scientist, based on video game",en,"Japan, United States of America",English
Captain America: The First Avenger,"Action, Adventure, Science Fiction","new york, usa, world war ii, nazis, marvel comic, superhero, based on comic book, nazi germany, period drama, brooklyn new york city, captain america, aftercreditsstinger, marvel cinematic universe, 3d",en,United States of America,"French, Norsk, English"
The World Is Not Enough,"Adventure, Action, Thriller","british, mission, oil, heiress, bilbao spain, british secret service",en,"United Kingdom, United States of America",English
Master and Commander: The Far Side of the World,Adventure,"naturalist, frigate, self surgery, sea battle, weevil",en,United States of America,"French, Portugues, English"
The Twilight Saga: Breaking Dawn - Part 2,"Adventure, Fantasy, Drama, Romance","vampire, romance, villainess, super strength, imprinting, cross breed, bloodsucker, grudge, vampire vs vampire, chief of police, dhampir, forks washington, wolf pack, misinformation, seeing the future, fang vamp",en,United States of America,English
Happy Feet Two,"Animation, Comedy, Family","penguin, musical, aftercreditsstinger, 3d",en,Australia,English
The Incredible Hulk,"Science Fiction, Action, Adventure","new york, rio de janeiro, marvel comic, superhero, based on comic book, on the run, fugitive, super soldier, tony stark, virginia, military, hulk, marvel cinematic universe, angry, bruce banner",en,United States of America,"Portugues, Spanish, English"
The BFG,"Adventure, Family, Fantasy","london england, england, based on novel, queen, little girl, orphan, cannibal, giant, evil brother",en,"India, United States of America",English
The Revenant,"Western, Drama, Adventure, Thriller","father son relationship, rape, based on novel, mountains, winter, grizzly bear, wilderness, frontier, revenge, murder, native american, survival, bear, snow, violence, animal death, bear attack, death of son, based on true events, fur trapper",en,"Canada, Hong Kong, Taiwan, United States of America","English, French"
Turbo,"Animation, Family","underdog, car race, dream, speed, power, snail, fast, friends, superpower, racer",en,United States of America,English
Rango,"Animation, Comedy, Family, Western, Adventure","sheriff, nevada, pet, rango, chameleon, las vegas, cactus, terrarium, construction site, armadillo, disillusionment",en,United States of America,English
Penguins of Madagascar,"Family, Animation, Adventure, Comedy","penguin, madagascar, 3d",en,United States of America,English
The Bourne Ultimatum,"Action, Drama, Mystery, Thriller","paris, corruption, madrid, assassin, based on novel, europe, prosecution, dangerous, false identity, revelation, government, weapon, interpol, sequel, conspiracy, shootout, espionage, motorcycle, violence, foot chase, moskow, dark past, langley virginia, flashback, chase on the roof, security leak",en,"Germany, United States of America","English, French, Spanish"
Kung Fu Panda,"Adventure, Animation, Family, Comedy","china, martial arts, kung fu, mentor, snake, restaurant, shop, strong woman, bravery, tiger, turtle, panda, sensei, anthropomorphism, fighting, ancient china, monkey, master, destiny, evil, aftercreditsstinger, monkey warrior, noodle",en,United States of America,English
Ant-Man,"Science Fiction, Action, Adventure","marvel comic, superhero, based on comic book, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d",en,United States of America,English
The Hunger Games: Catching Fire,"Adventure, Action, Science Fiction","competition, based on novel, mentor, secret, factory, television, propaganda, future, dystopia, alliance, games, president, uprising, sequel, murder, survival, conspiracy, rebellion, blood, female protagonist, tournament, explosion, danger, imax, winner, based on young adult novel",en,United States of America,English
Home,"Fantasy, Comedy, Animation, Science Fiction, Family","friendship, spaceship, space, alien, alien invasion, alien friendship, awful leader, taking resposibility",en,United States of America,English
War of the Worlds,"Adventure, Thriller, Science Fiction","post traumatic stress disorder, new jersey, airplane, dystopia, daughter, apocalypse, alien invasion, human subjugation",en,United States of America,English
Bad Boys II,"Adventure, Action, Comedy, Thriller, Crime","miami, ku klux klan, cuba, undercover, mexican standoff, ecstasy, guantanamo, slaughter, shootout, gunfight, bromance, gangster, violence, foot chase, interrogation, car chase, drug lord, exploding house, narcotics cop, illegal drugs, dea agent, buddy cop, criminal underworld, action hero, haitian gang, minefield",en,United States of America,"English, Spanish"
Puss in Boots,"Action, Adventure, Animation, Family, Fantasy","adventure, fairy-tale figure",en,United States of America,"Spanish, English"
Salt,"Action, Mystery, Thriller","assassination, spy, cia, kidnapping, cold war, soviet union, double agent, race against time, revenge, on the run, shootout, espionage, female protagonist, hitwoman, terrorism, violence, russian spy, intelligence officer, action heroine",en,United States of America,"English, ,"
Noah,"Drama, Adventure","bible, god, noah, 3d",en,United States of America,English
The Adventures of Tintin,"Adventure, Animation, Mystery","riddle, captain, treasure, liquor, treasure hunt, sunken treasure, plot, reporter, 3d, action",en,"New Zealand, United States of America",English
Harry Potter and the Prisoner of Azkaban,"Adventure, Fantasy, Family",,en,"United Kingdom, United States of America",English
Australia,Drama,"missionary, world war ii, ranch, australia, british, racist, cattle drive, aftercreditsstinger, stampede, waltzing matilda, trampled to death",en,"Australia, United States of America, United Kingdom",English
After Earth,"Science Fiction, Action, Adventure",dystopia,en,United States of America,English
Dinosaur,"Animation, Family","cataclysm, asteroid, leader, comet, animation, prehistoric, prehistoric egg, dinosaur, nesting grounds, prehistoric creature, prehistoric adventure, lemur, prehistoric times",en,United States of America,English
Night at the Museum: Secret of the Tomb,"Adventure, Comedy, Fantasy, Family","night watchman, museum, natural history, history, smithsonian",en,"United Kingdom, United States of America",English
Megamind,"Animation, Action, Comedy, Family, Science Fiction","saving the world, date, prison, secret identity, fish, gun, dna, mayor, anti hero, rain, museum, one-sided love, serum, talking animal, reporter, duringcreditsstinger, stronger villain",en,United States of America,English
Harry Potter and the Philosopher's Stone,"Adventure, Fantasy, Family","witch, christmas party, magic, cutting the cord, halloween, child hero, broom, chosen one, frog, fantasy world, based on young adult novel",en,"United Kingdom, United States of America",English
